p_240,s_1086
p_320,s_789
p_187,s_667
p_15,s_485
p_79,s_297
p_272,s_687
p_4,s_323
p_170,s_510
p_181,s_449
p_312,s_1021
p_60,s_798
p_12,s_980
p_155,s_1338
p_24,s_905
p_242,s_631
p_200,s_724
p_4,s_285
p_244,s_444
p_63,s_48
p_309,s_1211
p_260,s_743
p_312,s_588
p_28,s_890
p_83,s_223
p_178,s_406
p_118,s_560
p_61,s_810
p_44,s_615
p_131,s_326
p_317,s_955
p_253,s_340
p_23,s_161
p_255,s_159
p_40,s_780
p_154,s_1234
p_35,s_1172
p_49,s_207
p_336,s_1191
p_299,s_369
p_157,s_708
p_109,s_750
p_283,s_1173
p_65,s_559
p_215,s_756
p_333,s_1249
p_105,s_976
p_338,s_322
p_264,s_457
p_317,s_429
p_114,s_882
p_131,s_1218
p_215,s_729
p_202,s_376
p_87,s_184
p_310,s_104
p_233,s_1170
p_68,s_1240
p_231,s_511
p_77,s_418
p_254,s_1108
p_272,s_84
p_101,s_372
p_265,s_329
p_203,s_991
p_118,s_1285
p_267,s_753
p_134,s_130
p_117,s_170
p_201,s_1171
p_111,s_1042
p_237,s_1269
p_148,s_1267
p_74,s_1235
p_100,s_569
p_26,s_926
p_12,s_1253
p_214,s_228
p_124,s_573
p_80,s_248
p_343,s_1186
p_341,s_490
p_30,s_1329
p_276,s_106
p_275,s_1175
p_238,s_1459
p_191,s_1100
p_88,s_202
p_225,s_1124
p_222,s_1347
p_303,s_102
p_145,s_909
p_33,s_224
p_130,s_540
p_313,s_1203
p_321,s_898
p_146,s_1292
p_298,s_1349
p_243,s_591
p_50,s_1456
p_62,s_1334
p_141,s_461
p_119,s_58
p_243,s_1055
